"","entry_exit_provider_program_type_code","ee_uid","client_id","client_age_at_entry","client_age_at_exit","client_gender","client_primary_race","client_ethnicity","client_veteran_status"
"7149","Emergency Shelter (HUD)",738162,421787,32,32,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7150","Emergency Shelter (HUD)",738163,421843,23,23,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7151","Emergency Shelter (HUD)",738173,404666,53,54,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7152","Emergency Shelter (HUD)",738651,421836,20,21,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7153","Emergency Shelter (HUD)",738652,421948,0,0,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7154","Emergency Shelter (HUD)",738653,131836,46,46,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7155","Emergency Shelter (HUD)",738654,251941,8,8,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7156","Emergency Shelter (HUD)",738656,404990,25,25,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7157","Emergency Shelter (HUD)",738659,421844,62,63,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7158","Emergency Shelter (HUD)",738660,196343,37,37,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7159","Emergency Shelter (HUD)",738662,398754,54,54,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7160","Emergency Shelter (HUD)",738715,420932,7,8,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7161","Emergency Shelter (HUD)",739244,422069,39,39,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7162","Emergency Shelter (HUD)",739682,414192,19,19,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7163","Emergency Shelter (HUD)",739683,414193,4,4,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7164","Emergency Shelter (HUD)",739687,392105,40,40,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7165","Emergency Shelter (HUD)",739688,392106,14,14,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7166","Emergency Shelter (HUD)",739689,380095,21,22,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7167","Emergency Shelter (HUD)",739693,420118,25,25,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7168","Emergency Shelter (HUD)",739694,420125,3,3,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7169","Emergency Shelter (HUD)",741136,356538,59,59,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7170","Emergency Shelter (HUD)",741137,422348,56,56,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7171","Emergency Shelter (HUD)",741138,370814,42,42,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7172","Emergency Shelter (HUD)",741139,422349,45,45,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7173","Emergency Shelter (HUD)",741140,390314,64,64,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7174","Emergency Shelter (HUD)",741141,422260,65,65,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7175","Emergency Shelter (HUD)",741252,318537,38,39,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7176","Emergency Shelter (HUD)",741255,173884,38,38,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7177","Emergency Shelter (HUD)",741805,391305,40,40,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7178","Emergency Shelter (HUD)",741814,372489,52,52,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7179","Emergency Shelter (HUD)",741821,335684,20,20,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7180","Emergency Shelter (HUD)",741823,422367,47,48,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7181","Emergency Shelter (HUD)",741825,341399,40,40,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7182","Emergency Shelter (HUD)",741829,422464,10,10,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7183","Emergency Shelter (HUD)",741830,422463,9,9,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7184","Emergency Shelter (HUD)",741835,422177,53,53,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7185","Emergency Shelter (HUD)",741836,422499,5,5,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7186","Emergency Shelter (HUD)",741837,422432,25,25,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7187","Emergency Shelter (HUD)",741838,422443,2,3,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7188","Emergency Shelter (HUD)",741839,422441,1,1,"Female","Black or African American (HUD)","Hispanic/Latino (HUD)","No (HUD)"
"7189","Emergency Shelter (HUD)",741855,397224,31,31,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7190","Emergency Shelter (HUD)",741856,397232,6,6,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7191","Emergency Shelter (HUD)",741857,397233,6,6,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7192","Emergency Shelter (HUD)",741858,397230,9,9,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7193","Emergency Shelter (HUD)",741859,397235,2,2,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7194","Emergency Shelter (HUD)",741860,397231,7,7,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7195","Emergency Shelter (HUD)",741861,397234,4,4,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7196","Emergency Shelter (HUD)",741865,311478,48,48,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7197","Emergency Shelter (HUD)",741869,379806,51,51,"Female","Black or African American (HUD)","Hispanic/Latino (HUD)","Yes (HUD)"
"7198","Emergency Shelter (HUD)",741870,422361,35,35,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7199","Emergency Shelter (HUD)",741872,323308,23,23,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7200","Emergency Shelter (HUD)",742314,416830,57,57,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7201","Emergency Shelter (HUD)",742316,422561,30,30,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7202","Emergency Shelter (HUD)",742317,422583,12,12,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7203","Emergency Shelter (HUD)",742318,422582,0,0,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7204","Emergency Shelter (HUD)",742324,422542,19,19,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7205","Emergency Shelter (HUD)",742325,422586,2,2,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7206","Emergency Shelter (HUD)",742329,419331,13,13,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7207","Emergency Shelter (HUD)",742331,371328,25,25,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7208","Emergency Shelter (HUD)",742332,420564,56,56,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","Yes (HUD)"
"7209","Emergency Shelter (HUD)",742336,369191,55,55,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7210","Emergency Shelter (HUD)",742340,422460,45,45,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","Yes (HUD)"
"7211","Emergency Shelter (HUD)",742341,422508,22,22,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7212","Emergency Shelter (HUD)",742342,387625,26,26,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7213","Emergency Shelter (HUD)",742343,419600,35,35,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7214","Emergency Shelter (HUD)",742344,422505,57,57,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7215","Emergency Shelter (HUD)",742348,163204,49,49,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7216","Emergency Shelter (HUD)",742349,422595,32,32,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7217","Emergency Shelter (HUD)",742350,422596,2,2,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7218","Emergency Shelter (HUD)",743473,380541,27,27,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7219","Emergency Shelter (HUD)",743474,408171,27,28,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7220","Emergency Shelter (HUD)",743475,408172,5,6,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7221","Emergency Shelter (HUD)",745152,422793,25,25,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7222","Emergency Shelter (HUD)",745153,422800,1,1,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7223","Emergency Shelter (HUD)",745154,422801,0,0,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7224","Emergency Shelter (HUD)",745159,422585,46,46,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","Yes (HUD)"
"7225","Emergency Shelter (HUD)",745168,422933,30,30,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7226","Emergency Shelter (HUD)",745174,342422,49,49,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7227","Emergency Shelter (HUD)",745175,422720,30,30,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7228","Emergency Shelter (HUD)",745176,422724,6,6,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)",""
"7229","Emergency Shelter (HUD)",745184,396711,34,34,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7230","Emergency Shelter (HUD)",745185,422937,30,30,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7231","Emergency Shelter (HUD)",745188,422938,25,25,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7232","Emergency Shelter (HUD)",745189,422939,2,3,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7233","Emergency Shelter (HUD)",745190,219155,39,39,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7234","Emergency Shelter (HUD)",745193,373578,37,37,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7235","Emergency Shelter (HUD)",745198,339237,49,49,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7236","Emergency Shelter (HUD)",746194,422506,23,23,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7237","Emergency Shelter (HUD)",746195,401325,48,48,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7238","Emergency Shelter (HUD)",746196,306836,52,53,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7239","Emergency Shelter (HUD)",746197,363324,46,46,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7240","Emergency Shelter (HUD)",746202,336007,36,36,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7241","Emergency Shelter (HUD)",746208,124785,48,48,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7242","Emergency Shelter (HUD)",746209,423121,18,18,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7243","Emergency Shelter (HUD)",746211,396577,20,20,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7244","Emergency Shelter (HUD)",746716,423221,46,47,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","Yes (HUD)"
"7245","Emergency Shelter (HUD)",747663,423176,24,24,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7246","Emergency Shelter (HUD)",747665,423232,27,27,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7247","Emergency Shelter (HUD)",747666,423242,1,1,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7248","Emergency Shelter (HUD)",747667,423240,6,6,"Male","Black or African American (HUD)","Hispanic/Latino (HUD)","No (HUD)"
"7249","Emergency Shelter (HUD)",748156,418153,28,28,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7250","Emergency Shelter (HUD)",748157,423462,7,7,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7251","Emergency Shelter (HUD)",748550,423357,47,47,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7252","Emergency Shelter (HUD)",748551,375616,52,52,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7253","Emergency Shelter (HUD)",748553,419424,44,44,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7254","Emergency Shelter (HUD)",748555,423417,24,24,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7255","Emergency Shelter (HUD)",748556,423425,0,0,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7256","Emergency Shelter (HUD)",748557,423423,5,5,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7257","Emergency Shelter (HUD)",748613,349850,39,39,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7258","Emergency Shelter (HUD)",748614,105841,60,60,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7259","Emergency Shelter (HUD)",748619,423372,26,26,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7260","Emergency Shelter (HUD)",749113,419540,41,42,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7261","Emergency Shelter (HUD)",749114,419543,17,17,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7262","Emergency Shelter (HUD)",749117,420069,19,19,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7263","Emergency Shelter (HUD)",749125,422824,21,21,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7264","Emergency Shelter (HUD)",749126,422825,5,5,"Male","Black or African American (HUD)","Hispanic/Latino (HUD)","No (HUD)"
"7265","Emergency Shelter (HUD)",749128,423506,47,48,"Female","Native Hawaiian or Other Pacific Islander (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7266","Emergency Shelter (HUD)",749131,332311,21,21,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7267","Emergency Shelter (HUD)",749132,333306,4,4,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7268","Emergency Shelter (HUD)",749136,108417,51,51,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7269","Emergency Shelter (HUD)",749153,423581,30,30,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7270","Emergency Shelter (HUD)",749167,423571,51,51,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7271","Emergency Shelter (HUD)",749181,338786,54,54,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7272","Emergency Shelter (HUD)",749182,314455,46,46,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7273","Emergency Shelter (HUD)",749661,423640,50,51,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7274","Emergency Shelter (HUD)",749665,391037,39,39,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7275","Emergency Shelter (HUD)",749666,404990,25,25,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7276","Emergency Shelter (HUD)",749668,421112,60,60,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7277","Emergency Shelter (HUD)",749671,423546,31,31,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7278","Emergency Shelter (HUD)",749672,423730,2,2,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7279","Emergency Shelter (HUD)",749673,423731,2,2,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7280","Emergency Shelter (HUD)",750471,423749,25,25,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7281","Emergency Shelter (HUD)",750472,423754,0,1,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7282","Emergency Shelter (HUD)",750479,393129,37,37,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7283","Emergency Shelter (HUD)",750480,393163,11,11,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7284","Emergency Shelter (HUD)",750481,393162,8,8,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7285","Emergency Shelter (HUD)",750482,393164,16,16,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7286","Emergency Shelter (HUD)",751063,410354,29,29,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7287","Emergency Shelter (HUD)",751064,410355,10,10,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7288","Emergency Shelter (HUD)",751065,410356,7,8,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7289","Emergency Shelter (HUD)",751068,423289,54,54,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7290","Emergency Shelter (HUD)",751069,423828,23,24,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7291","Emergency Shelter (HUD)",751070,370773,26,26,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7292","Emergency Shelter (HUD)",751071,423914,0,0,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7293","Emergency Shelter (HUD)",751073,322997,40,40,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7294","Emergency Shelter (HUD)",751080,234349,50,50,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7295","Emergency Shelter (HUD)",751586,371754,49,49,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7296","Emergency Shelter (HUD)",751588,423988,27,27,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7297","Emergency Shelter (HUD)",751589,363668,21,21,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7298","Emergency Shelter (HUD)",751590,363670,4,4,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7299","Emergency Shelter (HUD)",751591,423129,25,25,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7300","Emergency Shelter (HUD)",751596,424042,6,6,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7301","Emergency Shelter (HUD)",751597,424047,4,4,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7302","Emergency Shelter (HUD)",751598,424044,3,3,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7303","Emergency Shelter (HUD)",752102,424035,43,43,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7304","Emergency Shelter (HUD)",752104,420740,28,28,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7305","Emergency Shelter (HUD)",752105,411701,19,19,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7306","Emergency Shelter (HUD)",752106,375616,52,52,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7307","Emergency Shelter (HUD)",752524,381397,48,48,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7308","Emergency Shelter (HUD)",752530,424110,1,1,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7309","Emergency Shelter (HUD)",752531,326848,32,32,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7310","Emergency Shelter (HUD)",752532,424109,1,1,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7311","Emergency Shelter (HUD)",752533,326849,3,4,"Male","Black or African American (HUD)","Hispanic/Latino (HUD)","No (HUD)"
"7312","Emergency Shelter (HUD)",752534,326852,3,3,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7313","Emergency Shelter (HUD)",752536,363091,54,54,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7314","Emergency Shelter (HUD)",753433,353747,27,27,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7315","Emergency Shelter (HUD)",753434,424136,1,2,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7316","Emergency Shelter (HUD)",753435,424138,7,7,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7317","Emergency Shelter (HUD)",753437,424218,56,56,"Female","Black or African American (HUD)","Hispanic/Latino (HUD)","No (HUD)"
"7318","Emergency Shelter (HUD)",753438,424192,46,46,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7319","Emergency Shelter (HUD)",753440,424271,21,21,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7320","Emergency Shelter (HUD)",753442,421170,37,37,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7321","Emergency Shelter (HUD)",753443,421171,5,5,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7322","Emergency Shelter (HUD)",753444,421172,3,3,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7323","Emergency Shelter (HUD)",753446,424273,40,40,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7324","Emergency Shelter (HUD)",753451,424274,33,33,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7325","Emergency Shelter (HUD)",754007,423908,48,48,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7326","Emergency Shelter (HUD)",754008,424416,12,12,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7327","Emergency Shelter (HUD)",754009,424275,34,34,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7328","Emergency Shelter (HUD)",754010,424277,4,4,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7329","Emergency Shelter (HUD)",754011,424276,9,9,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7330","Emergency Shelter (HUD)",754012,424417,32,32,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7331","Emergency Shelter (HUD)",754013,178115,45,45,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7332","Emergency Shelter (HUD)",754016,152641,30,30,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7333","Emergency Shelter (HUD)",754018,424287,40,40,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7334","Emergency Shelter (HUD)",754019,424304,57,57,"Female","White (HUD)","Hispanic/Latino (HUD)","No (HUD)"
"7335","Emergency Shelter (HUD)",754531,424444,26,26,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7336","Emergency Shelter (HUD)",754532,407919,23,23,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7337","Emergency Shelter (HUD)",754533,375616,53,53,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7338","Emergency Shelter (HUD)",754534,400231,27,27,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7339","Emergency Shelter (HUD)",754536,424460,24,24,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7340","Emergency Shelter (HUD)",754549,424245,33,33,"Female","American Indian or Alaska Native (HUD)","Hispanic/Latino (HUD)","No (HUD)"
"7341","Emergency Shelter (HUD)",754550,400245,28,28,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7342","Emergency Shelter (HUD)",754551,424535,5,6,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7343","Emergency Shelter (HUD)",754579,421170,37,37,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
